location,latitude,longitude,"1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
AUT,48.2081743,16.37381890000006,,,,,,,,,,,,8.518,8.565,8.577,8.606,8.683,8.759,9.08,9.24,9.29,9.479,9.686,9.734,10.002,10.335,10.593,10.922,11.342,11.918,12.589
BEL,50.8503396,4.351710300000036,9.106,8.586,8.649,8.733,8.751,8.854,9.057,9.205,9.031,9.114,9.1,9,8.967,8.861,8.7,8.8,8.4,8.231,8.227,8.291,8.357,8.593,8.837,9.142,9.461,9.796,10.249,10.634,10.798,10.917
CZE,50.0755381,14.43780049999998,,,,,,,,,0.399,0.752,1.004,1.537,1.927,2,2.135,2.19,1.93,2.059,2.27,2.357,2.491,2.719,3.131,3.801,4.195,4.122,4.034,4.136,4.148,4.178
DEU,52.52000659999999,13.40495399,7.148,7.176,7.381,6.924,7.274,7.731,8.4,7.3,8,8.5,8.6,8.8,8.9,9,8.9,8.934,8.883,8.895,8.896,8.89,8.143,8.192,8.196,8.2,8.191,8.174,8.265,8.478,8.807,9.297
DNK,55.6760968,12.568337199999974,2.108,2.286,2.503,2.655,2.768,2.934,3.122,3.284,3.48,3.64,3.8,4.2,4.7,4.7,4.8,4.88,4.8,4.977,4.937,5.031,4.951,4.983,5.115,5.465,5.828,5.974,6.238,6.442,6.701,7.076
ESP,40.4167754,-3.703790199999957,,,,,,,,,,,,,,,,,,4.857,6.432,7.191,8.704,9.491,10.188,11.647,12.284,12.396,12.352,12.274,11.859,10.728
EST,59.43696079999999,24.75357469,,,,,,,,,,,,,,,,,,20.069,19.537,19.687,19.459,18.953,18.146,17.306,16.68,16.354,16.321,15.903,15.948,16.063
FIN,60.16985569999999,24.93837910,0.343,0.347,0.351,0.359,0.377,0.426,0.525,0.8,0.904,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.758,1.9,1.994,2.053,2.072,2.17,2.311,2.509,2.696,2.916,3.132,3.399,3.611,3.815
FRA,48.85661400000001,2.352221900,,,,,,,6.349,,,,,,,,,5.6,,,,,,5.789,6.002,6.021,6.057,6.103,6.079,6.157,6.354,
GBR,51.5073509,-0.127758299999982,2.832,3.053,3.202,3.226,3.186,3.2,3.2,3.1,3.5,3.5,3.554,3.393,3.356,3.57,3.798,3.787,4.009,4.376,4.353,4.598,4.766,5.024,5.576,6.236,6.771,6.984,7.209,7.561,7.516,7.708
GRC,37.9838096,23.727538800000048,,,,,,,,,,,,,,,,2.805,2.62,2.906,3.249,3.977,4.291,4.824,4.986,5.127,5.761,6.558,7.506,7.262,6.809,6.925,6.211
HUN,47.497912,19.04023499999994,,,,,,,,,,,1.346,1.37,1.398,1.413,1.4,1.496,1.078,1.143,1.141,1.284,1.406,1.531,1.649,1.737,1.837,1.974,2.092,1.438,1.425,1.42
IRL,53.3498053,-6.260309699999993,2.477,2.275,2.215,2.213,2.357,2.26,2.321,2.528,2.69,2.69,2.69,2.69,3.2,3.125,2.992,3.148,,,5.598,,,,9.762,11.874,12.834,12.692,12.297,11.738,12.003,
ITA,41.9027835,12.496365500000024,0.708,0.739,0.786,0.997,1.122,0.852,1.353,1.546,1.6,1.7,1.6,1.7,2,2.1,2.1,2.17,2.413,2.526,2.696,3.462,4.174,4.594,5.029,5.83,6.558,7.088,7.611,7.999,7.251,8.113
NLD,52.3702157,4.895167899999933,3.865,3.803,3.886,4.022,4.213,4.31,4.613,4.8,5,5.1,5,4.682,4.368,4.3,4.22,4.1,4.2,4.303,4.334,4.328,4.295,4.236,4.172,4.202,4.375,4.448,4.576,4.709,4.752,4.856
POL,52.2297700,21.0117800,,,,,,,,,,,,,,,,,,,0.129,,,,0.144,0.151,0.159,0.13,,0.144,,
PRT,38.7222524,-9.139336599999979,,,,,0.958,1.031,1.092,1.157,1.254,1.331,1.585,1.7,1.7,1.76,1.781,1.9,2.074,3.505,3.967,4.152,4.285,3.96,3.993,4.133,4.173,4.298,4.211,4.138,3.966,3.743
SVN,46.0569465,14.505751499999974,,,,,,,,,,,,,,,,,,,,,,,2.67,3.406,3.479,4.886,4.671,4.966,5.025,5.385
SWE,59.32932349999999,18.06858080,4.682,4.65,4.663,4.766,4.977,5.348,5.631,5.713,5.742,5.804,6.096,6.018,5.954,5.9,5.646,5.498,5.373,5.298,5.264,5.306,5.342,5.308,5.414,5.73,6.093,6.479,6.751,6.932,7.009,7.235
