location,year,fertility
FIN,1960,2.7
FIN,1961,2.7
FIN,1962,2.7
FIN,1963,2.7
FIN,1964,2.6
FIN,1965,2.5
FIN,1966,2.4
FIN,1967,2.3
FIN,1968,2.1
FIN,1969,1.9
FIN,1970,1.8
FIN,1971,1.7
FIN,1972,1.6
FIN,1973,1.5
FIN,1974,1.6
FIN,1975,1.7
FIN,1976,1.7
FIN,1977,1.7
FIN,1978,1.7
FIN,1979,1.6
FIN,1980,1.6
FIN,1981,1.6
FIN,1982,1.7
FIN,1983,1.7
FIN,1984,1.7
FIN,1985,1.6
FIN,1986,1.6
FIN,1987,1.6
FIN,1988,1.7
FIN,1989,1.7
FIN,1990,1.8
FIN,1991,1.8
FIN,1992,1.9
FIN,1993,1.8
FIN,1994,1.9
FIN,1995,1.8
FIN,1996,1.8
FIN,1997,1.8
FIN,1998,1.7
FIN,1999,1.7
FIN,2000,1.7
FIN,2001,1.7
FIN,2002,1.7
FIN,2003,1.8
FIN,2004,1.8
FIN,2005,1.8
FIN,2006,1.8
FIN,2007,1.8
FIN,2008,1.9
FIN,2009,1.9
FIN,2010,1.9
FIN,2011,1.8
FIN,2012,1.8
FIN,2013,1.8
FIN,2014,1.7
FIN,2015,1.7
FIN,2016,1.6
FRA,1960,2.7
FRA,1961,2.8
FRA,1962,2.8
FRA,1963,2.9
FRA,1964,2.9
FRA,1965,2.8
FRA,1966,2.8
FRA,1967,2.7
FRA,1968,2.6
FRA,1969,2.5
FRA,1970,2.5
FRA,1971,2.5
FRA,1972,2.4
FRA,1973,2.3
FRA,1974,2.1
FRA,1975,1.9
FRA,1976,1.8
FRA,1977,1.9
FRA,1978,1.8
FRA,1979,1.9
FRA,1980,1.9
FRA,1981,1.9
FRA,1982,1.9
FRA,1983,1.8
FRA,1984,1.8
FRA,1985,1.8
FRA,1986,1.8
FRA,1987,1.8
FRA,1988,1.8
FRA,1989,1.8
FRA,1990,1.8
FRA,1991,1.8
FRA,1992,1.7
FRA,1993,1.7
FRA,1994,1.7
FRA,1995,1.7
FRA,1996,1.7
FRA,1997,1.7
FRA,1998,1.8
FRA,1999,1.8
FRA,2000,1.9
FRA,2001,1.9
FRA,2002,1.9
FRA,2003,1.9
FRA,2004,1.9
FRA,2005,1.9
FRA,2006,2.0
FRA,2007,2.0
FRA,2008,2.0
FRA,2009,2.0
FRA,2010,2.0
FRA,2011,2.0
FRA,2012,2.0
FRA,2013,2.0
FRA,2014,2.0
FRA,2015,1.9
FRA,2016,1.9
DEU,1960,2.4
DEU,1961,2.4
DEU,1962,2.4
DEU,1963,2.5
DEU,1964,2.5
DEU,1965,2.5
DEU,1966,2.5
DEU,1967,2.5
DEU,1968,2.4
DEU,1969,2.2
DEU,1970,2.0
DEU,1971,2.0
DEU,1972,1.7
DEU,1973,1.6
DEU,1974,1.5
DEU,1975,1.5
DEU,1976,1.5
DEU,1977,1.5
DEU,1978,1.5
DEU,1979,1.5
DEU,1980,1.6
DEU,1981,1.5
DEU,1982,1.5
DEU,1983,1.4
DEU,1984,1.4
DEU,1985,1.4
DEU,1986,1.4
DEU,1987,1.4
DEU,1988,1.5
DEU,1989,1.4
DEU,1990,1.5
DEU,1991,1.3
DEU,1992,1.3
DEU,1993,1.3
DEU,1994,1.2
DEU,1995,1.2
DEU,1996,1.3
DEU,1997,1.4
DEU,1998,1.4
DEU,1999,1.4
DEU,2000,1.4
DEU,2001,1.3
DEU,2002,1.3
DEU,2003,1.3
DEU,2004,1.4
DEU,2005,1.3
DEU,2006,1.3
DEU,2007,1.4
DEU,2008,1.4
DEU,2009,1.4
DEU,2010,1.4
DEU,2011,1.4
DEU,2012,1.4
DEU,2013,1.4
DEU,2014,1.5
DEU,2015,1.5
DEU,2016,1.6
GRC,1960,2.2
GRC,1961,2.1
GRC,1962,2.2
GRC,1963,2.1
GRC,1964,2.2
GRC,1965,2.3
GRC,1966,2.3
GRC,1967,2.5
GRC,1968,2.4
GRC,1969,2.4
GRC,1970,2.4
GRC,1971,2.3
GRC,1972,2.3
GRC,1973,2.3
GRC,1974,2.4
GRC,1975,2.3
GRC,1976,2.4
GRC,1977,2.3
GRC,1978,2.3
GRC,1979,2.3
GRC,1980,2.2
GRC,1981,2.1
GRC,1982,2.0
GRC,1983,1.9
GRC,1984,1.8
GRC,1985,1.7
GRC,1986,1.6
GRC,1987,1.5
GRC,1988,1.5
GRC,1989,1.4
GRC,1990,1.4
GRC,1991,1.4
GRC,1992,1.4
GRC,1993,1.3
GRC,1994,1.3
GRC,1995,1.3
GRC,1996,1.3
GRC,1997,1.3
GRC,1998,1.2
GRC,1999,1.2
GRC,2000,1.3
GRC,2001,1.3
GRC,2002,1.3
GRC,2003,1.3
GRC,2004,1.3
GRC,2005,1.3
GRC,2006,1.4
GRC,2007,1.4
GRC,2008,1.5
GRC,2009,1.5
GRC,2010,1.5
GRC,2011,1.4
GRC,2012,1.3
GRC,2013,1.3
GRC,2014,1.3
GRC,2015,1.3
GRC,2016,1.4
IRL,1960,3.8
IRL,1961,3.8
IRL,1962,3.9
IRL,1963,4.0
IRL,1964,4.1
IRL,1965,4.0
IRL,1966,4.0
IRL,1967,3.8
IRL,1968,3.8
IRL,1969,3.9
IRL,1970,3.9
IRL,1971,4.0
IRL,1972,3.9
IRL,1973,3.7
IRL,1974,3.6
IRL,1975,3.4
IRL,1976,3.3
IRL,1977,3.3
IRL,1978,3.2
IRL,1979,3.2
IRL,1980,3.2
IRL,1981,3.1
IRL,1982,3.0
IRL,1983,2.8
IRL,1984,2.6
IRL,1985,2.5
IRL,1986,2.4
IRL,1987,2.3
IRL,1988,2.2
IRL,1989,2.1
IRL,1990,2.1
IRL,1991,2.1
IRL,1992,2.0
IRL,1993,1.9
IRL,1994,1.9
IRL,1995,1.9
IRL,1996,1.9
IRL,1997,1.9
IRL,1998,2.0
IRL,1999,1.9
IRL,2000,1.9
IRL,2001,2.0
IRL,2002,2.0
IRL,2003,2.0
IRL,2004,2.0
IRL,2005,1.9
IRL,2006,1.9
IRL,2007,2.0
IRL,2008,2.1
IRL,2009,2.1
IRL,2010,2.1
IRL,2011,2.0
IRL,2012,2.0
IRL,2013,2.0
IRL,2014,2.0
IRL,2015,1.9
IRL,2016,1.9
ITA,1960,2.4
ITA,1961,2.4
ITA,1962,2.5
ITA,1963,2.6
ITA,1964,2.7
ITA,1965,2.7
ITA,1966,2.6
ITA,1967,2.5
ITA,1968,2.5
ITA,1969,2.5
ITA,1970,2.4
ITA,1971,2.4
ITA,1972,2.4
ITA,1973,2.3
ITA,1974,2.3
ITA,1975,2.2
ITA,1976,2.1
ITA,1977,2.0
ITA,1978,1.9
ITA,1979,1.8
ITA,1980,1.7
ITA,1981,1.6
ITA,1982,1.6
ITA,1983,1.5
ITA,1984,1.5
ITA,1985,1.4
ITA,1986,1.4
ITA,1987,1.4
ITA,1988,1.4
